date,sku_id,location_id,unit_of_measure,avg_daily_demand,std_daily_demand,avg_lead_time_days,std_lead_time_days,service_level_target,unit_cost,holding_cost_rate_annual,order_cost_fixed,moq_units,lot_size_units,review_period_days,holding_cost_per_unit_per_day
2025-01-01,SKU-0001,LOC-0001,case,1.7255,0.5653,19.241,5.367,0.95,118.9768,0.3209761279970199,158.59,8,8,7,0.104627
2025-01-01,SKU-0002,LOC-0002,case,15.2472,5.451,4.282,1.029,0.98,39.6553,0.19934786463010995,49.27,20,10,7,0.021658
2025-01-01,SKU-0003,LOC-0003,EA,47.4032,17.247,8.881,1.785,0.99,28.7346,0.31873273139932234,123.14,1,1,7,0.025092
2025-02-01,SKU-0001,LOC-0001,case,1.6841,0.5517,19.241,5.367,0.95,119.177,0.3209761279970199,158.59,8,8,7,0.104803
2025-02-01,SKU-0002,LOC-0002,case,16.1173,5.7621,4.282,1.029,0.98,39.7221,0.19934786463010995,49.27,20,10,7,0.021695
2025-02-01,SKU-0003,LOC-0003,EA,58.9464,21.4468,8.881,1.785,0.99,28.783,0.31873273139932234,123.14,1,1,7,0.025134
2025-03-01,SKU-0001,LOC-0001,case,1.7043,0.5583,19.241,5.367,0.95,119.3582,0.3209761279970199,158.59,8,8,7,0.104962
2025-03-01,SKU-0002,LOC-0002,case,16.292,5.8245,4.282,1.029,0.98,39.7825,0.19934786463010995,49.27,20,10,7,0.021728
2025-03-01,SKU-0003,LOC-0003,EA,73.6452,26.7948,8.881,1.785,0.99,28.8267,0.31873273139932234,123.14,1,1,7,0.025173
2025-04-01,SKU-0001,LOC-0001,case,1.7895,0.5863,19.241,5.367,0.95,119.5591,0.3209761279970199,158.59,8,8,7,0.105139
2025-04-01,SKU-0002,LOC-0002,case,15.7902,5.6451,4.282,1.029,0.98,39.8494,0.19934786463010995,49.27,20,10,7,0.021764
2025-04-01,SKU-0003,LOC-0003,EA,90.8599,33.058,8.881,1.785,0.99,28.8752,0.31873273139932234,123.14,1,1,7,0.025215
2025-05-01,SKU-0001,LOC-0001,case,1.9179,0.6283,19.241,5.367,0.95,119.7539,0.3209761279970199,158.59,8,8,7,0.10531
2025-05-01,SKU-0002,LOC-0002,case,14.7727,5.2814,4.282,1.029,0.98,39.9143,0.19934786463010995,49.27,20,10,7,0.0218
2025-05-01,SKU-0003,LOC-0003,EA,104.3555,37.9682,8.881,1.785,0.99,28.9223,0.31873273139932234,123.14,1,1,7,0.025256
2025-06-01,SKU-0001,LOC-0001,case,2.0668,0.6771,19.241,5.367,0.95,119.9554,0.3209761279970199,158.59,8,8,7,0.105487
2025-06-01,SKU-0002,LOC-0002,case,13.5001,4.8264,4.282,1.029,0.98,39.9815,0.19934786463010995,49.27,20,10,7,0.021836
2025-06-01,SKU-0003,LOC-0003,EA,111.4241,40.54,8.881,1.785,0.99,28.971,0.31873273139932234,123.14,1,1,7,0.025299
2025-07-01,SKU-0001,LOC-0001,case,2.1921,0.7181,19.241,5.367,0.95,120.1508,0.3209761279970199,158.59,8,8,7,0.105659
2025-07-01,SKU-0002,LOC-0002,case,12.4371,4.4464,4.282,1.029,0.98,40.0467,0.19934786463010995,49.27,20,10,7,0.021872
2025-07-01,SKU-0003,LOC-0003,EA,109.8628,39.972,8.881,1.785,0.99,29.0182,0.31873273139932234,123.14,1,1,7,0.02534
